,Driver_id,Order_id,Step,Point,Grid,Reposition_Point,Reposition_Grid
0,D0,Idle,2520,"[40.851950800234384, -73.92967768455331]",892a100ae07ffff,"[40.851950800234384, -73.92967768455331]",892a100ae07ffff
1,D1,Idle,2520,"[40.763763585662176, -73.96272121424846]",892a100d687ffff,"[40.763763585662176, -73.96272121424846]",892a100d687ffff
2,D2,Idle,2520,"[40.7882831770275, -73.9358260668239]",892a100f2cbffff,"[40.7882831770275, -73.9358260668239]",892a100f2cbffff
3,D3,Idle,2520,"[40.776684780193754, -73.97392845953703]",892a1008bb7ffff,"[40.776684780193754, -73.97392845953703]",892a1008bb7ffff
4,D4,Idle,2520,"[40.841146630805085, -73.9378439088746]",892a100aa83ffff,"[40.841146630805085, -73.9378439088746]",892a100aa83ffff
5,D5,Idle,2520,"[40.83844571466804, -73.93988488561392]",892a100aa8fffff,"[40.83844571466804, -73.93988488561392]",892a100aa8fffff
6,D6,Idle,2520,"[40.812237874300905, -73.93031121299184]",892a100ab3bffff,"[40.812237874300905, -73.93031121299184]",892a100ab3bffff
7,D7,Idle,2520,"[40.712842263747575, -73.98855243013952]",892a1072dc3ffff,"[40.712842263747575, -73.98855243013952]",892a1072dc3ffff
8,D8,Idle,2520,"[40.84373380135633, -73.94008713892036]",892a100aa9bffff,"[40.84373380135633, -73.94008713892036]",892a100aa9bffff
9,D9,Idle,2520,"[40.70779388503867, -73.97980113147659]",892a1072d8fffff,"[40.70779388503867, -73.97980113147659]",892a1072d8fffff
10,D10,Idle,2520,"[40.78007186580061, -73.94622038584649]",892a10089b3ffff,"[40.78007186580061, -73.94622038584649]",892a10089b3ffff
11,D11,Idle,2520,"[40.83000026089066, -73.95885605229294]",892a100aa6bffff,"[40.83000026089066, -73.95885605229294]",892a100aa6bffff
12,D12,Idle,2520,"[40.77070743129919, -73.99938977000828]",892a1008b6fffff,"[40.77070743129919, -73.99938977000828]",892a1008b6fffff
13,D13,Idle,2520,"[40.85757953928717, -73.91702183870262]",892a100ac4bffff,"[40.85757953928717, -73.91702183870262]",892a100ac4bffff
14,D14,Idle,2520,"[40.830457288488525, -73.9417232043568]",892a100aa33ffff,"[40.830457288488525, -73.9417232043568]",892a100aa33ffff
15,D15,Idle,2520,"[40.80615337320435, -73.96007752518602]",892a1008c2fffff,"[40.80615337320435, -73.96007752518602]",892a1008c2fffff
16,D16,Idle,2520,"[40.87615025061996, -73.91557748995153]",892a100a113ffff,"[40.87615025061996, -73.91557748995153]",892a100a113ffff
17,D17,Idle,2520,"[40.755090450720594, -73.99021126674096]",892a10725a7ffff,"[40.755090450720594, -73.99021126674096]",892a10725a7ffff
18,D18,Idle,2520,"[40.784898333098056, -73.9635395113328]",892a10089cfffff,"[40.784898333098056, -73.9635395113328]",892a10089cfffff
19,D19,Idle,2520,"[40.76083481518792, -73.97331126335345]",892a100d603ffff,"[40.76083481518792, -73.97331126335345]",892a100d603ffff
20,D20,Idle,2520,"[40.76858652379911, -73.9800362432926]",892a100d6cbffff,"[40.76858652379911, -73.9800362432926]",892a100d6cbffff
21,D21,Idle,2520,"[40.80580878415855, -73.97292056840786]",892a10088d7ffff,"[40.80580878415855, -73.97292056840786]",892a10088d7ffff
22,D22,Idle,2520,"[40.8172968555567, -73.93907632837534]",892a100ab47ffff,"[40.8172968555567, -73.93907632837534]",892a100ab47ffff
23,D23,Idle,2520,"[40.7854701478532, -73.94214398351879]",892a100f25bffff,"[40.7854701478532, -73.94214398351879]",892a100f25bffff
