,Order_id,Driver_id,Arrive_step,Response_step,Pickup_step,Pickup_Latitude,Pickup_Longitude,Dropoff_Latitude,Dropoff_Longitude,Pickup_Grid,Dropoff_Grid,Pickup_Point,Dropoff_Point,Travel_dis,Travel_time,date,Matching_patience,Fare,Travel_duration,Travel_distance,Fare_A,Fare_B,Travel_minute
0,O3164,Waiting,2520,86400,86400,40.75446810546195,-73.96431478209527,40.74196107891978,-73.97733036338276,892a100d6afffff,892a100d2bbffff,"[40.75446810546195, -73.96431478209527]","[40.74196107891978, -73.97733036338276]",2404.365410833217,43,2020-12-01,5.0,7.608736470754041,7,1.4907065547165943,6.5,7.0,7
1,O3023,Waiting,2520,86400,86400,40.76129304599248,-73.96921606199352,40.705865932286684,-74.01578917602468,892a100d617ffff,892a1072813ffff,"[40.761293045992474, -73.96921606199352]","[40.705865932286684, -74.01578917602468]",9643.183140450745,173,2020-12-01,5.0,22.81285370738906,28,5.978773547079462,17.0,13.700000000000001,28
2,O1659,Waiting,2520,86400,86400,40.79381290488536,-73.95671034984406,40.75571889480854,-73.98749289215623,892a1008d6bffff,892a100d66bffff,"[40.793812904885364, -73.95671034984406]","[40.75571889480854, -73.98749289215623]",6523.698305746243,117,2020-12-01,6.0,16.278212661734674,19,4.044692949562671,12.5,10.100000000000001,19
3,O2033,Waiting,2520,86400,86400,40.74638681132752,-73.99134937706259,40.76957908809847,-73.95662932451805,892a100d2cfffff,892a100892fffff,"[40.74638681132752, -73.99134937706259]","[40.76957908809847, -73.95662932451805]",5561.580536947875,100,2020-12-01,7.0,14.184314882588444,16,3.4481799329076823,11.0,8.9,16
4,O3016,Waiting,2520,86400,86400,40.74406443735687,-73.98888790828045,40.75909762377616,-73.96866639471746,892a100d21bffff,892a100d6abffff,"[40.74406443735687, -73.98888790828045]","[40.75909762377616, -73.96866639471746]",3356.286643809515,60,2020-12-01,7.0,9.691571008533325,10,2.0808977191619,8.0,7.0,10
5,O3005,Waiting,2520,86400,86400,40.73790131468911,-73.98056314352903,40.76347084735687,-73.95433913845567,892a100d2abffff,892a100d443ffff,"[40.73790131468911, -73.98056314352903]","[40.76347084735687, -73.95433913845567]",4878.6478737886855,87,2020-12-01,4.0,12.743332943060723,14,3.024761681748985,10.0,8.100000000000001,14
6,O2665,Waiting,2521,86400,86400,40.73458855212337,-73.99821754375175,40.741264051206464,-73.9806883761693,892a100d26fffff,892a100d2bbffff,"[40.73458855212337, -73.99821754375175]","[40.741264051206464, -73.9806883761693]",2498.4641965915944,44,2020-12-01,4.0,7.710833653301879,7,1.5490478018867886,6.5,7.0,7
7,O2222,Waiting,2522,86400,86400,40.75350325885242,-73.9878931656995,40.75750066706525,-74.00372084438423,892a100d2d3ffff,892a107250fffff,"[40.75350325885242, -73.9878931656995]","[40.757500667065244, -74.00372084438423]",2174.4453682281865,39,2020-12-01,7.0,7.009273224527582,6,1.3481561283014756,6.0,7.0,6
8,O2046,Waiting,2523,86400,86400,40.78879079328496,-73.9679419858671,40.75069901619769,-73.97480935246264,892a1008837ffff,892a100d62fffff,"[40.78879079328496, -73.9679419858671]","[40.75069901619769, -73.97480935246264]",5155.621596935106,92,2020-12-01,6.0,13.393849432674587,15,3.1964853900997654,10.5,8.5,15
9,O2617,Waiting,2523,86400,86400,40.7521421182726,-73.99279601433813,40.74766431468328,-73.98063512943693,892a100d2dbffff,892a100d283ffff,"[40.7521421182726, -73.99279601433813]","[40.74766431468328, -73.98063512943693]",1726.1499294187772,31,2020-12-01,4.0,7.0,5,1.070212956239642,6.0,7.0,5
10,O2389,Waiting,2523,86400,86400,40.78606308485931,-73.94672526566237,40.71486654993135,-73.98175017354328,892a1008997ffff,892a100d36fffff,"[40.78606308485931, -73.94672526566237]","[40.71486654993135, -73.98175017354328]",10568.805816690809,190,2020-12-01,4.0,24.86715431110953,31,6.552659606348302,18.5,14.9,31
11,O2535,Waiting,2524,86400,86400,40.795358441883934,-73.96447739038726,40.76906813283584,-73.9569179728332,892a10088a3ffff,892a100892fffff,"[40.795358441883934, -73.96447739038726]","[40.76906813283584, -73.9569179728332]",3643.756893070964,65,2020-12-01,3.0,10.003476228981995,10,2.259129273703998,8.0,7.0,10
12,O2316,Waiting,2524,86400,86400,40.760777821561206,-73.9575723532206,40.7581269876408,-73.96974054656442,892a100d44fffff,892a100d607ffff,"[40.760777821561206, -73.9575723532206]","[40.7581269876408, -73.96974054656442]",1658.8178983504338,29,2020-12-01,3.0,7.0,4,1.028467096977269,6.0,7.0,4
13,O3252,Waiting,2524,86400,86400,40.752271978107714,-73.97360711406786,40.75175123073291,-73.99463409014749,892a100d62bffff,892a1072537ffff,"[40.752271978107714, -73.97360711406786]","[40.75175123073291, -73.99463409014749]",2801.651999912855,50,2020-12-01,7.0,8.389792419905447,8,1.73702423994597,7.0,7.0,8
14,O3552,Waiting,2525,86400,86400,40.800685633109055,-73.96905879798999,40.79433704762892,-73.97377100611413,892a100888fffff,892a1008807ffff,"[40.800685633109055, -73.96905879798999]","[40.794337047628915, -73.97377100611413]",1053.1180086020074,18,2020-12-01,5.0,7.0,3,0.6529331653332445,6.0,7.0,3
15,O3492,Waiting,2525,86400,86400,40.74819388927731,-73.99274675658403,40.74888800944064,-73.9742492455182,892a100d2cfffff,892a100d297ffff,"[40.74819388927731, -73.99274675658403]","[40.74888800944064, -73.9742492455182]",2465.60258718789,44,2020-12-01,5.0,7.67517880709886,7,1.5286736040564917,6.5,7.0,7
16,O2473,Waiting,2525,86400,86400,40.734141253553695,-73.98437565779294,40.775977703094426,-73.95941590527387,892a100d223ffff,892a100893bffff,"[40.734141253553695, -73.98437565779294]","[40.775977703094426, -73.95941590527387]",6489.0109826835005,116,2020-12-01,5.0,16.240576916211598,19,4.023186809263771,12.5,10.100000000000001,19
17,O3322,Waiting,2525,86400,86400,40.75216993029451,-73.97519127792523,40.76947785181898,-73.96088807814236,892a100d62bffff,892a100d693ffff,"[40.75216993029451, -73.97519127792523]","[40.76947785181898, -73.96088807814236]",2990.7647014065583,53,2020-12-01,6.0,8.594979701026116,8,1.854274114872066,7.0,7.0,8
18,O2011,Waiting,2525,86400,86400,40.75263755071814,-73.9911739217524,40.75232855328516,-73.97491825302984,892a100d2dbffff,892a100d62bffff,"[40.75263755071814, -73.9911739217524]","[40.75232855328516, -73.97491825302984]",2165.646220758383,38,2020-12-01,5.0,7.0,6,1.3427006568701976,6.0,7.0,6
